Rk, Player, Tm, Opp, MP, FG, FGA, FG%, 3P, 3PA, 3P%, FT, FTA, FT%, ORB, DRB, TRB, AST, STL, BLK, TOV, PF, PTS, +/-, GmSc
62,Nemanja Bjelica,SAC,IND,19:53,6,12,.500,1,4,.250,0,0,,3,3,6,1,0,1,2,4,13,-10,7.8
63,James Ennis,HOU,CHI,25:11,4,7,.571,1,3,.333,1,2,.500,0,3,3,0,1,1,0,3,10,+4,7.7
64,Cory Joseph,IND,SAC,29:34,3,6,.500,1,2,.500,0,0,,1,6,7,4,1,0,1,4,7,-12,7.7
65,Langston Galloway,DET,GSW,27:52,2,5,.400,2,4,.500,2,3,.667,1,3,4,2,1,0,1,1,8,+4,7.5
66,OG Anunoby,TOR,CLE,21:36,3,5,.600,0,1,.000,2,4,.500,1,5,6,1,0,0,0,1,8,-15,7.4
67,DeMarre Carroll,BRK,WAS,20:32,3,9,.333,2,6,.333,2,4,.500,2,3,5,0,1,1,1,0,10,-9,7.1
68,Enes Kanter,NYK,MIL,26:54,4,6,.667,0,0,,0,1,.000,1,6,7,2,0,0,1,2,8,-4,7.1
69,Iman Shumpert,SAC,IND,28:07,3,6,.500,2,2,1.000,0,0,,1,2,3,2,2,0,1,4,8,-6,7.1
70,Ish Smith,DET,GSW,21:30,5,11,.455,1,1,1.000,0,0,,0,1,1,2,0,0,0,0,11,+3,7.0
71,D'Angelo Russell,BRK,WAS,25:12,3,8,.375,1,5,.200,1,2,.500,0,2,2,7,1,0,2,2,8,-20,6.9
72,Reggie Bullock,DET,GSW,31:50,4,12,.333,2,8,.250,0,0,,0,2,2,3,2,0,0,3,10,+5,6.7
73,Rondae Hollis-Jefferson,BRK,WAS,28:08,3,10,.300,1,1,1.000,4,4,1.000,1,7,8,0,1,0,2,1,11,-5,6.6
74,Shaquille Harrison,CHI,HOU,11:49,3,4,.750,1,2,.500,2,2,1.000,0,1,1,0,1,0,1,3,9,+3,6.5
75,Serge Ibaka,TOR,CLE,31:04,4,9,.444,0,1,.000,2,2,1.000,1,5,6,1,0,0,1,2,10,+20,6.4
76,Alec Burks,CLE,TOR,23:57,5,13,.385,1,3,.333,2,2,1.000,1,5,6,0,1,0,2,2,13,+7,6.3
77,Ed Davis,BRK,WAS,10:26,2,4,.500,0,0,,1,1,1.000,4,3,7,0,0,0,0,1,5,-8,6.3
78,George Hill,CLE,TOR,18:59,3,5,.600,1,2,.500,1,2,.500,0,1,1,1,0,0,0,1,8,-6,5.9
79,Tyreke Evans,IND,SAC,29:07,5,12,.417,2,4,.500,0,0,,0,2,2,4,1,0,3,3,12,+11,5.8
80,Eric Gordon,HOU,CHI,31:29,5,12,.417,3,8,.375,2,3,.667,0,3,3,1,1,0,3,5,15,+16,5.8
81,Spencer Dinwiddie,BRK,WAS,28:17,3,9,.333,0,3,.000,2,3,.667,0,2,2,8,0,0,3,0,8,-11,5.7
82,Dario Šarić,MIN,BOS,20:24,3,7,.429,0,4,.000,1,2,.500,1,3,4,1,0,1,0,1,7,-3,5.5
83,Cedi Osman,CLE,TOR,35:08,3,13,.231,1,7,.143,5,5,1.000,0,6,6,3,1,0,2,4,12,-10,5.4
84,Taj Gibson,MIN,BOS,23:09,4,6,.667,0,0,,0,4,.000,2,6,8,1,0,0,2,1,8,-1,5.3
85,Khris Middleton,MIL,NYK,18:31,3,11,.273,3,6,.500,1,2,.500,0,4,4,2,1,0,1,1,10,-9,5.3
86,Justin Jackson,SAC,IND,24:40,3,7,.429,2,3,.667,0,2,.000,1,2,3,2,0,0,1,0,8,+10,5.2
87,Tomáš Satoranský,WAS,BRK,26:18,3,4,.750,0,1,.000,1,2,.500,0,1,1,3,0,0,1,3,7,+9,5.2
88,Jeff Teague,MIN,BOS,32:45,3,10,.300,1,2,.500,4,4,1.000,2,2,4,6,0,0,5,3,11,-7,5.2
89,Jordan Bell,GSW,DET,14:20,2,5,.400,0,0,,0,0,,1,2,3,2,0,2,0,1,4,-16,5.0
90,Justin Holiday,CHI,HOU,25:52,4,13,.308,1,8,.125,2,2,1.000,0,3,3,1,4,1,4,3,11,-19,4.6
91,Mitchell Robinson,NYK,MIL,19:42,3,4,.750,0,0,,0,1,.000,4,1,5,0,0,1,1,6,6,-1,4.4
92,Shabazz Napier,BRK,WAS,25:18,2,13,.154,1,7,.143,3,3,1.000,0,2,2,3,3,1,1,2,8,-3,4.3
93,Kenneth Faried,BRK,WAS,4:16,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,4,+2,4.1
94,Nenê Hilário,HOU,CHI,12:18,2,3,.667,0,0,,0,0,,0,3,3,0,0,1,0,1,4,+8,3.9
95,Lauri Markkanen,CHI,HOU,25:34,4,14,.286,2,6,.333,0,0,,0,4,4,0,1,1,0,2,10,-9,3.9
96,Andre Iguodala,GSW,DET,20:40,1,2,.500,1,2,.500,1,2,.500,1,3,4,2,1,0,2,2,4,-3,3.8
97,Antonio Blakeney,CHI,HOU,3:57,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,+4,3.7
98,Aaron Holiday,IND,SAC,6:59,2,4,.500,1,3,.333,0,0,,0,2,2,1,0,0,1,0,5,-11,3.3
99,Ryan Arcidiacono,CHI,HOU,26:42,2,6,.333,1,5,.200,2,2,1.000,0,1,1,2,0,0,1,3,7,-11,3.1
100,Marquese Chriss,HOU,CHI,2:56,0,0,,0,0,,2,2,1.000,0,0,0,0,1,0,0,0,2,-4,3.0
101,Jonas Jerebko,GSW,DET,23:02,2,4,.500,0,2,.000,0,0,,0,4,4,0,1,0,0,3,4,+5,3.0
102,Tony Snell,MIL,NYK,19:24,3,11,.273,2,9,.222,2,2,1.000,0,1,1,0,0,0,0,2,10,+9,3.0
103,Rodions Kurucs,BRK,WAS,14:19,2,7,.286,0,4,.000,4,4,1.000,1,4,5,0,0,0,1,5,8,+6,2.8
104,Gorgui Dieng,MIN,BOS,10:24,1,2,.500,0,0,,1,1,1.000,0,1,1,1,0,0,0,1,3,+3,2.6
105,Chandler Hutchison,CHI,HOU,15:59,1,4,.250,0,0,,0,0,,2,5,7,0,0,0,0,0,2,+7,2.5
106,Zaza Pachulia,DET,GSW,12:01,1,2,.500,0,0,,0,0,,0,4,4,1,0,0,0,1,2,+9,2.5
107,Pat Connaughton,MIL,NYK,36:29,0,5,.000,0,3,.000,2,2,1.000,0,2,2,5,1,0,0,3,2,+13,2.4
108,Austin Rivers,WAS,BRK,25:12,2,6,.333,2,5,.400,1,2,.500,0,1,1,1,0,0,1,2,7,+10,2.4
109,Delon Wright,TOR,CLE,19:34,1,4,.250,0,1,.000,0,0,,0,1,1,1,2,0,0,1,2,-17,2.2
110,Damion Lee,GSW,DET,6:27,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-5,2.0
111,Michael Carter-Williams,HOU,CHI,2:56,1,3,.333,0,0,,1,2,.500,1,0,1,0,0,1,0,1,3,-4,1.9
112,Cameron Payne,CHI,HOU,17:52,0,4,.000,0,3,.000,0,2,.000,0,0,0,6,2,0,0,2,0,-9,1.8
113,Troy Brown,WAS,BRK,1:39,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-2,1.7
114,Kevon Looney,GSW,DET,21:09,1,3,.333,0,0,,0,0,,2,3,5,2,0,1,1,5,2,-12,1.7
115,Mario Hezonja,NYK,MIL,12:08,1,2,.500,0,0,,0,0,,0,2,2,2,1,0,2,1,2,-6,1.6
116,C.J. Miles,TOR,CLE,14:40,1,4,.250,0,2,.000,0,0,,0,1,1,1,1,0,0,0,2,-4,1.6
117,Jarrett Allen,BRK,WAS,25:28,3,4,.750,0,0,,0,1,.000,2,6,8,0,0,0,5,2,6,-4,1.4
118,Thomas Bryant,WAS,BRK,19:29,1,3,.333,0,2,.000,0,0,,1,6,7,2,1,0,3,2,2,-3,1.4
119,Isaiah Hartenstein,HOU,CHI,2:56,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-4,1.4
120,Collin Sexton,CLE,TOR,26:25,5,12,.417,0,1,.000,0,0,,0,2,2,2,0,0,3,3,10,-15,1.4
121,Džanan Musa,BRK,WAS,4:25,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,+4,1.0
122,Cristiano Felício,CHI,HOU,3:57,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2,+4,0.9
123,Jacob Evans,GSW,DET,0:47,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0,0.7
124,Theo Pinson,BRK,WAS,4:25,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+4,0.7
125,Glenn Robinson,DET,GSW,14:51,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,+4,0.7
126,Domantas Sabonis,IND,SAC,24:16,3,7,.429,0,0,,0,0,,1,6,7,5,0,2,7,5,6,-6,0.7
127,Tyus Jones,MIN,BOS,15:06,0,1,.000,0,1,.000,0,0,,1,0,1,2,0,0,0,2,0,-2,0.6
128,Shaun Livingston,GSW,DET,14:25,0,2,.000,0,0,,1,2,.500,1,1,2,2,0,0,1,0,1,-13,0.6
129,Jonas Valančiūnas,TOR,CLE,18:17,2,5,.400,0,1,.000,1,2,.500,1,3,4,0,0,1,2,4,5,-9,0.6
130,Channing Frye,CLE,TOR,3:28,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0,0.2
131,Danuel House,HOU,CHI,17:14,2,7,.286,0,3,.000,2,4,.500,0,1,1,0,0,0,0,3,6,+6,0.2
132,José Calderón,DET,GSW,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0.0
133,Luke Kornet,NYK,MIL,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.0
134,Robert Williams,BOS,MIN,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.0
135,Quinn Cook,GSW,DET,6:41,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,+3,-0.1
136,Jared Dudley,BRK,WAS,16:29,1,3,.333,0,1,.000,2,2,1.000,0,0,0,0,0,0,2,1,4,-16,-0.1
137,Kosta Koufos,SAC,IND,15:17,0,3,.000,0,0,,0,0,,1,6,7,1,0,1,2,0,0,+5,-0.2
138,Daniel Theis,BOS,MIN,8:28,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,3,4,+7,-0.2
139,Larry Nance,CLE,TOR,21:45,1,3,.333,0,1,.000,1,2,.500,1,2,3,1,0,0,2,3,3,-7,-0.3
140,Gary Clark,HOU,CHI,2:56,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-4,-0.4
141,Robin Lopez,CHI,HOU,8:13,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-9,-0.4
142,Semi Ojeleye,BOS,MIN,7:47,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,0,-0.4
143,Kelly Oubre,WAS,BRK,21:30,2,5,.400,1,2,.500,0,0,,0,3,3,0,0,0,2,4,5,-1,-0.4
144,Aron Baynes,BOS,MIN,16:31,0,1,.000,0,1,.000,0,0,,1,3,4,1,0,1,1,5,0,+6,-0.7
145,Bruce Brown,DET,GSW,14:34,1,3,.333,0,0,,0,0,,0,1,1,1,1,0,1,5,2,+4,-0.7
146,Trey Burke,NYK,MIL,0:56,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,-0.7
147,Donte DiVincenzo,MIL,NYK,12:53,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,2,2,0,+4,-3.5
